file_path,router_name,method,path,handler,decorator_line,handler_start_line,handler_end_line,tags,response_model,status_code,auth_required,db_tables,external_calls
backend\api\system.py,app,GET,/,root,16,17,25,,,,True,,
backend\api\system.py,app,GET,/health,health_check,28,29,52,,,,True,,
backend\api\v1\assets.py,app,POST,/sessions,create_upload_session,73,75,96,,AssetCreateSessionOut,,True,,
backend\api\v1\assets.py,app,POST,/sessions,create_upload_session,74,75,96,,AssetCreateSessionOut,,True,,
backend\api\v1\assets.py,app,POST,/{asset_id}/confirm,confirm_upload,99,101,123,,AssetRecordOut,,True,,
backend\api\v1\assets.py,app,POST,/{asset_id}/confirm,confirm_upload,100,101,123,,AssetRecordOut,,True,,
backend\api\v1\assets.py,app,GET,/,list_assets,126,128,147,,AssetListOut,,True,,
backend\api\v1\assets.py,app,GET,/,list_assets,127,128,147,,AssetListOut,,True,,
backend\api\v1\assets.py,app,GET,/{asset_id},get_asset,150,152,169,,AssetRecordOut,,True,,
backend\api\v1\assets.py,app,GET,/{asset_id},get_asset,151,152,169,,AssetRecordOut,,True,,
backend\api\v1\assets.py,app,DELETE,/{asset_id},delete_asset,172,174,190,,,,True,,
backend\api\v1\assets.py,app,DELETE,/{asset_id},delete_asset,173,174,190,,,,True,,
backend\api\v1\auth.py,app,GET,/health,auth_health,41,42,48,,,,True,,
backend\api\v1\auth.py,app,POST,/verify,verify_access_token,51,52,69,,AuthVerifyResponse,,True,,
backend\api\v1\bcm_feedback.py,app,POST,/,submit_feedback,79,80,100,,FeedbackResponse,,True,,
backend\api\v1\bcm_feedback.py,app,GET,/memories,list_memories,103,104,124,,,,True,,
backend\api\v1\bcm_feedback.py,app,GET,/memories/summary,memory_summary,127,128,134,,MemorySummaryOut,,True,,
backend\api\v1\bcm_feedback.py,app,DELETE,/memories/{memory_id},delete_memory,137,138,147,,,,True,,
backend\api\v1\bcm_feedback.py,app,GET,/generations,list_generations,150,151,172,,,,True,,
backend\api\v1\campaigns.py,app,GET,/,list_campaigns,99,100,111,,CampaignListOut,,True,,
backend\api\v1\campaigns.py,app,POST,/,create_campaign,114,115,132,,CampaignOut,,True,,
backend\api\v1\campaigns.py,app,GET,/{campaign_id},get_campaign,135,136,150,,CampaignOut,,True,,
backend\api\v1\campaigns.py,app,PATCH,/{campaign_id},update_campaign,153,154,182,,CampaignOut,,True,,
backend\api\v1\campaigns.py,app,DELETE,/{campaign_id},delete_campaign,185,186,200,,,,True,,
backend\api\v1\communications.py,app,POST,/contact,submit_contact,34,35,87,,ContactResponse,,True,,
backend\api\v1\context.py,app,GET,/,get_latest_bcm,76,77,99,,BCMResponse,,True,,
backend\api\v1\context.py,app,POST,/rebuild,rebuild_bcm,102,103,125,,BCMResponse,,True,,
backend\api\v1\context.py,app,POST,/seed,seed_bcm,128,129,148,,BCMResponse,,True,,
backend\api\v1\context.py,app,DELETE,/,clear_bcm,151,152,158,,,,True,,
backend\api\v1\context.py,app,GET,/versions,list_bcm_versions,161,162,177,,,,True,,
backend\api\v1\context.py,app,POST,/reflect,reflect_bcm,180,181,188,,,,True,,
backend\api\v1\foundation.py,app,GET,/,get_foundation,60,61,78,,FoundationOut,,True,foundations,
backend\api\v1\foundation.py,app,PUT,/,save_foundation,81,82,101,,FoundationOut,,True,foundations,
backend\api\v1\health.py,app,GET,/health,health_check,30,31,92,,,,True,,RESEND
backend\api\v1\health.py,app,GET,/services,services_status,113,114,134,,,,True,,RESEND
backend\api\v1\health.py,app,GET,/ai-architecture,ai_architecture,137,138,160,,,,True,,RESEND
backend\api\v1\health.py,app,GET,/health/db,database_health,163,164,178,,,,True,,RESEND
backend\api\v1\health.py,app,GET,/health/cache,cache_health,181,182,202,,,,True,,RESEND
backend\api\v1\moves.py,app,GET,/,list_moves,64,65,84,,MoveListOut,,True,,
backend\api\v1\moves.py,app,POST,/,create_move,87,88,99,,MoveModel,,True,,
backend\api\v1\moves.py,app,PATCH,/{move_id},update_move,120,121,142,,MoveModel,,True,,
backend\api\v1\moves.py,app,DELETE,/{move_id},delete_move,145,146,163,,,,True,,
backend\api\v1\muse.py,app,GET,/health,muse_health,60,61,70,,,,True,,
backend\api\v1\muse.py,app,POST,/generate,generate,73,74,108,,MuseGenerateResponse,,True,,
backend\api\v1\scraper.py,app,POST,/,scrape_endpoint,362,363,399,,,,True,,httpx
backend\api\v1\scraper.py,app,GET,/health,scraper_health,402,403,410,,,,True,,httpx
backend\api\v1\scraper.py,app,GET,/analytics,scraper_analytics,413,414,421,,,,True,,httpx
backend\api\v1\scraper.py,app,GET,/stats,scraper_stats,424,425,427,,,,True,,httpx
backend\api\v1\scraper.py,app,GET,/strategies,list_strategies,430,431,453,,,,True,,httpx
backend\api\v1\scraper.py,app,POST,/strategy,update_strategy,456,457,480,,,,True,,httpx
backend\api\v1\search.py,app,GET,/,search_endpoint,452,453,482,,,,True,,httpx
backend\api\v1\search.py,app,GET,/health,search_health,485,486,488,,,,True,,httpx
backend\api\v1\search.py,app,GET,/engines,list_engines,491,492,513,,,,True,,httpx
backend\api\v1\search.py,app,GET,/status,search_status,516,517,533,,,,True,,httpx
backend\api\v1\workspaces.py,app,POST,/,create_workspace,80,81,126,,WorkspaceResponse,,True,foundations|workspaces,
backend\api\v1\workspaces.py,app,GET,/{workspace_id},get_workspace,155,156,171,,WorkspaceResponse,,True,foundations|workspaces,
backend\api\v1\workspaces.py,app,PATCH,/{workspace_id},update_workspace,174,175,201,,WorkspaceResponse,,True,foundations|workspaces,
